ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重,VO2Max
1,04:21.6,0:04,1,4:22,,150,164,--,2,,,,,155,203,左 49.2%／右 50.8%,1.47,12.9,8.8,55,,4:14,159,4:21,4:21,185,62,61
2,04:15.3,08:37.0,1,4:15,,168,172,7,5,,,,,155,203,左 49.7%／右 50.3%,1.5,12.8,8.3,61,,4:01,159,4:15,4:15,185,62,61
3,04:19.6,57:00.0,1,4:20,,171,178,7,16,,,,,155,206,左 49.7%／右 50.3%,1.5,12.6,8.2,63,,4:03,158,04:19.6,4:20,185,62,61
4,04:24.5,21:00.0,1,4:24,,168,175,3,--,,,,,155,207,左 49.5%／右 50.5%,1.44,12.7,8.6,62,,4:11,160,0:04,4:24,185,62,61
5,04:31.4,52:00.0,1,4:31,,170,177,5,--,,,,,156,213,左 49.7%／右 50.3%,1.42,12.3,8.4,65,,4:07,163,31:00.0,4:31,185,62,61
6,04:29.9,22:00.0,1,4:30,,171,173,--,--,,,,,156,211,左 49.6%／右 50.4%,1.43,12.4,8.4,65,,4:21,162,04:29.9,4:30,185,62,61
7,04:22.6,45:00.0,1,4:23,,175,178,--,--,,,,,155,206,左 49.5%／右 50.5%,1.48,12.7,8.4,64,,4:10,160,4:22,4:22,185,62,61
8,04:20.6,05:00.0,1,4:21,,175,179,6,9,,,,,158,211,左 49.7%／右 50.3%,1.46,12.1,8,64,,4:13,163,0:04,4:21,185,62,61
9,04:23.4,29:00.0,1,4:23,,176,178,5,8,,,,,157,207,左 49.8%／右 50.2%,1.43,12.3,8.3,64,,4:17,163,23:00.0,4:23,185,62,61
10,01:20.7,49:00.0,0.32,4:16,,177,180,8,--,,,,,158,210,左 50.1%／右 49.9%,1.48,11.9,7.8,20,,4:15,161,0:01,4:16,185,62,61
