ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重,VO2Max
1,04:16.6,04:16.6,1,4:17,,135,163,2,--,,,,,155,206,左 49.5%／右 50.5%,1.42,12.4,8.8,45,,4:05,162,07:00.0,4:07,185,62,61
2,04:15.0,08:31.6,1,4:15,,158,176,--,4,,,,,156,200,左 49.6%／右 50.4%,1.46,12.6,8.6,57,,4:03,162,0:04,4:15,185,62,61
3,04:13.3,45:00.0,1,4:13,,165,181,20,9,,,,,156,198,左 49.6%／右 50.4%,1.42,12.1,9,59,,4:00,164,05:00.0,4:05,185,62,61
4,04:14.6,00:00.0,1,4:15,,155,181,6,4,,,,,158,198,左 49.4%／右 50.6%,1.45,12.2,8.3,50,,3:59,164,4:13,4:13,185,62,61
5,04:19.0,19:00.0,1,4:19,,178,190,5,--,,,,,158,203,左 49.6%／右 50.4%,1.44,12.4,8.4,64,,3:57,161,4:19,4:19,185,62,61
6,04:16.1,35:00.0,1,4:16,,170,181,4,13,,,,,159,196,左 49.7%／右 50.3%,1.4,12.2,8.8,60,,4:04,164,0:04,4:16,185,62,61
7,04:09.4,44:00.0,1,4:09,,160,180,5,10,,,,,159,195,左 49.4%／右 50.6%,1.42,12.1,8.6,51,,4:02,167,0:04,4:09,185,62,61
8,04:16.3,00:00.0,1,4:16,,168,178,7,6,,,,,158,201,左 49.6%／右 50.4%,1.31,11.7,9.7,58,,3:53,172,4:15,4:15,185,62,61
9,01:49.4,50:00.0,0.48,3:46,,156,178,--,2,,,,,164,183,左 49.6%／右 50.4%,1.51,11.2,7.6,19,,3:13,176,1:49,3:45,185,62,61
1,01:12.2,01:12.2,0.38,3:08,,125,151,4,--,,,,,167,144,左 50.7%／右 49.3%,1.76,11.3,7.9,10,,2:53,177,07:00.0,2:54,185,62,61
2,00:53.8,02:06.0,0.21,4:14,,153,161,--,4,,,,,158,193,左 49.8%／右 50.2%,1.61,13.1,7.8,11,,2:56,177,00:53.8,4:14,185,62,61
3,01:09.2,03:15.2,0.41,2:49,,158,167,--,--,,,,,179,149,左 51.2%／右 48.8%,1.93,9.6,4.9,15,,2:45,188,1:09,2:49,185,62,61
4,01:01.5,0:04,0.21,4:52,,162,168,--,--,,,,,158,213,左 50.4%／右 49.6%,1.35,12.5,8.9,14,,2:50,172,01:01.5,4:52,185,62,61
5,01:08.0,0:05,0.41,2:47,,153,158,--,--,,,,,181,154,左 54.2%／右 45.8%,1.94,9,4.7,14,,2:35,193,01:08.0,2:47,185,62,61
6,01:12.0,0:06,0.2,5:53,,153,159,--,--,,,,,157,228,左 50.5%／右 49.5%,1.16,12,10.3,15,,2:52,172,01:12.0,5:53,185,62,61
7,00:53.4,0:07,0.31,2:53,,158,162,5,7,,,,,178,171,左 53.3%／右 46.7%,1.87,9.3,5.1,11,,2:37,188,0:53,2:52,185,62,61
8,00:04.0,07:34.0,0.02,3:02,,159,159,--,--,,,,,170,173,左 52.6%／右 47.4%,2.09,11.3,5,1,,2:54,173,0:04,3:01,185,62,61
1,01:10.1,01:10.1,0.39,3:00,,133,158,--,--,,,,,178,143,左 53.0%／右 47.0%,1.75,9.7,8.5,11,,2:41,191,1:05,2:47,185,62,61
2,00:57.1,02:07.2,0.21,4:29,,164,169,--,--,,,,,157,198,左 50.7%／右 49.3%,1.44,12.9,8.7,13,,2:50,177,57:00.0,4:29,185,62,61
3,01:09.8,03:17.0,0.41,2:50,,160,169,5,5,,,,,183,154,左 52.0%／右 48.0%,1.86,9,4.8,15,,2:48,192,0:01,2:50,185,62,61
4,00:58.6,04:15.6,0.21,4:42,,171,180,--,--,,,,,159,210,左 50.9%／右 49.1%,1.38,12.3,8.7,14,,2:49,177,00:58.6,4:42,185,62,61
5,01:11.0,05:26.6,0.41,2:54,,181,191,4,--,,,,,181,161,左 51.0%／右 49.0%,1.91,9,4.7,17,,2:45,189,01:11.0,2:54,185,62,61
6,03:59.3,09:25.8,0.22,18:25,,144,178,--,6,,,,,99,410,左 52.2%／右 47.8%,0.59,3.8,6.1,42,,2:55,166,13:00.0,14:51,185,62,61
1,04:23.9,0:04,1,4:24,,147,167,1,--,,,,,154,199,左 50.0%／右 50.0%,1.46,13.2,9.1,53,,3:40,163,23:00.0,4:23,185,62,61
2,04:22.7,0:08,1,4:23,,166,173,8,9,,,,,154,201,左 49.9%／右 50.1%,1.47,13.3,8.8,61,,4:01,158,4:22,4:22,185,62,61
3,04:15.9,13:02,1,4:16,,172,175,--,11,,,,,155,199,左 49.8%／右 50.2%,1.54,13,8.2,61,,4:00,158,0:04,4:16,185,62,61
4,04:25.1,17:28,1,4:25,,172,176,8,--,,,,,157,200,左 49.7%／右 50.3%,1.4,12.8,9.1,62,,4:13,160,4:23,4:23,185,62,61
5,04:20.0,21:47,1,4:20,,175,180,6,5,,,,,157,197,左 50.0%／右 50.0%,1.46,12.8,8.5,62,,4:13,161,19:00.0,4:19,185,62,61
6,04:19.5,2:07,1,4:19,,174,181,4,5,,,,,158,199,左 49.8%／右 50.2%,1.4,12.3,8.7,62,,4:11,161,04:19.5,4:19,185,62,61
7,03:29.7,5:37,0.88,3:57,,170,181,5,2,,,,,161,186,左 50.0%／右 50.0%,1.5,11.7,8.1,49,,3:35,168,3:27,3:54,185,62,61
1,01:15.8,01:15.8,0.39,3:14,,134,162,--,7,,,,,170,185,左 50.2%／右 49.8%,1.79,10.9,6.8,12,,3:00,178,1:15,3:12,185,62,61
2,01:20.4,0:02,0.42,3:12,,168,171,15,7,,,,,167,168,左 50.1%／右 49.9%,1.87,11.5,5.9,18,,3:09,172,01:20.4,3:12,185,62,61
3,00:42.6,0:03,0.2,3:31,,172,175,--,4,,,,,163,176,左 49.8%／右 50.2%,1.81,12.2,6.4,9,,3:14,168,42:00.0,3:29,185,62,61
4,03:09.1,0:06,0.28,11:23,,152,177,8,7,,,,,114,285,左 49.7%／右 50.3%,0.82,5.6,6,38,,3:33,169,2:38,9:31,185,62,61
5,01:14.9,0:07:43,0.4,3:07,,162,177,--,2,,,,,172,177,左 49.4%／右 50.6%,1.82,10.4,6.3,16,,2:53,181,0:01,3:07,185,62,61
6,01:19.2,0:09:02,0.41,3:12,,186,195,12,8,,,,,168,170,左 49.4%／右 50.6%,1.9,11.1,5.6,20,,2:59,175,1:19,3:12,185,62,61
7,00:41.7,0:09:44,0.21,3:16,,190,200,--,10,,,,,166,196,左 50.2%／右 49.8%,1.86,11.5,5.9,11,,3:15,171,0:00,3:16,185,62,61
8,03:34.6,13:18:00,0.3,11:54,,165,188,9,7,,,,,111,235,左 50.5%／右 49.5%,0.74,7.6,6.9,48,,3:20,162,38:00.0,8:46,185,62,61
9,01:13.8,14:32:00,0.39,3:08,,162,178,12,7,,,,,171,201,左 51.4%／右 48.6%,1.8,10.4,6.5,15,,2:46,187,10:00.0,2:58,185,62,61
10,01:19.0,15:51:00,0.41,3:13,,174,180,9,9,,,,,169,189,左 51.0%／右 49.0%,1.85,10.9,5.6,19,,3:01,173,01:19.0,3:13,185,62,61
1,04:43.5,04:43.5,1,4:44,,131,145,2,--,,,,,155,216,左 49.6%／右 50.4%,1.35,12.4,9,47,,4:20,162,4:40,4:40,185,62,61
2,04:39.7,09:23.2,1,4:40,,154,168,--,6,,,,,154,212,左 49.7%／右 50.3%,1.29,12.7,10.1,59,,4:29,160,4:35,4:35,185,62,61
3,04:35.1,58:00.0,1,4:35,,156,167,7,--,,,,,155,208,左 49.8%／右 50.2%,1.31,12.4,9.7,59,,4:10,160,30:00.0,4:30,185,62,61
4,04:34.9,33:00.0,1,4:35,,165,180,8,--,,,,,154,207,左 49.8%／右 50.2%,1.39,12.8,9.1,62,,4:04,159,4:34,4:34,185,62,61
5,04:30.1,03:00.0,1,4:30,,167,176,9,8,,,,,156,206,左 49.7%／右 50.3%,1.33,12.6,9.4,61,,4:19,161,30:00.0,4:30,185,62,61
6,04:23.3,27:00.0,1,4:23,,175,185,--,9,,,,,156,204,左 49.8%／右 50.2%,1.45,12.7,8.5,63,,3:54,159,4:23,4:23,185,62,61
7,04:21.3,48:00.0,1,4:21,,162,181,12,20,,,,,157,206,左 49.6%／右 50.4%,1.43,12.1,8.6,54,,3:58,173,21:00.0,4:21,185,62,61
8,04:17.7,06:00.0,1,4:18,,162,174,10,3,,,,,160,206,左 49.7%／右 50.3%,1.36,11.6,8.4,53,,3:51,167,4:06,4:06,185,62,61
9,01:28.9,34:00.0,0.35,4:14,,171,176,--,2,,,,,161,199,左 49.8%／右 50.2%,1.45,11.9,8.1,20,,4:00,164,01:28.9,4:14,185,62,61
1,04:33.7,0:04,1,4:34,,130,160,--,--,,,,,154,214,左 49.1%／右 50.9%,1.33,12.7,10.2,44,,4:15,177,22:00.0,4:22,185,62,61
2,04:26.1,0:09,1,4:26,,150,163,1,7,,,,,154,206,左 49.8%／右 50.2%,1.44,13,9,54,,4:08,160,4:23,4:23,185,62,61
3,04:25.1,13:25,1,4:25,,165,172,6,--,,,,,154,203,左 49.2%／右 50.8%,1.41,12.8,9.5,60,,4:03,160,19:00.0,4:19,185,62,61
4,04:16.9,17:42,1,4:17,,161,176,8,1,,,,,156,201,左 50.0%／右 50.0%,1.38,12.6,10,54,,3:55,168,4:16,4:16,185,62,61
5,04:19.2,01:00.0,1,4:19,,154,169,9,6,,,,,157,200,左 50.3%／右 49.8%,1.4,12.6,8.9,51,,4:00,163,4:14,4:14,185,62,61
6,04:19.2,20:00.0,1,4:19,,169,176,--,7,,,,,158,198,左 50.0%／右 50.0%,1.44,12.3,8.9,59,,3:52,163,19:00.0,4:19,185,62,61
7,01:39.4,3:59,0.42,3:58,,159,173,--,5,,,,,162,189,左 49.3%／右 50.7%,1.45,11.9,7.5,19,,3:53,176,1:39,3:57,185,62,61
1,01:16.9,0:01,0.39,3:17,,127,147,--,--,,,,,170,173,左 51.8%／右 48.2%,1.81,11,5.3,11,,2:42,194,12:00.0,3:04,185,62,61
2,01:18.8,0:02,0.41,3:11,,150,163,--,--,,,,,169,168,左 50.7%／右 49.3%,1.86,11.1,5.8,16,,3:11,172,01:18.8,3:11,185,62,61
3,01:20.0,0:03:56,0.42,3:11,,160,171,5,10,,,,,169,173,左 50.7%／右 49.3%,1.84,11.2,5.8,17,,3:10,172,01:20.0,3:11,185,62,61
4,01:23.6,0:05:19,0.41,3:26,,162,167,5,--,,,,,167,190,左 49.5%／右 50.5%,1.78,11.4,6.1,18,,3:13,173,1:23,3:25,185,62,61
5,01:26.1,0:06:45,0.42,3:27,,170,176,--,--,,,,,166,198,左 49.9%／右 50.1%,1.75,11.4,6.3,20,,3:26,171,1:26,3:27,185,62,61
1,01:07.6,0:01:08,0.39,2:53,,108,136,8,--,,,,,183,180,左 51.1%／右 48.9%,1.59,9.2,5.6,7,,2:27,219,02:00.0,2:39,185,62,61
2,01:08.4,0:02:16,0.41,2:47,,145,156,8,8,,,,,181,182,左 51.7%／右 48.3%,2.04,9.1,4.2,13,,2:37,192,1:08,2:46,185,62,61
3,00:36.7,0:02:53,0.21,2:51,,149,153,--,8,,,,,175,167,左 50.4%／右 49.6%,1.93,9.9,4.9,7,,2:53,181,0:00,2:51,185,62,61
1,01:02.3,01:02.3,0.36,2:53,,146,163,8,--,,,,,191,185,左 51.9%／右 48.1%,1.92,8.3,6.6,12,,1:37,221,54:00.0,2:30,185,62,61
2,09:45.9,48:00.0,0.27,12:09,,132,165,--,1,,,,,73,215,左 44.4%／右 55.6%,0.59,4,3.8,91,,2:40,240,3:15,12:02,185,62,61
3,00:46.3,34:00.0,0.3,2:34,,150,171,--,--,,,,,191,148,左 51.9%／右 48.1%,1.82,7.7,6.6,8,,2:12,202,44:00.0,2:27,185,62,61
4,08:05.6,40:00.0,0.28,5:02,,136,172,1,1,,,,,78,232,左 49.9%／右 50.1%,0.66,3,4.2,73,,2:13,193,3:49,13:42,185,62,61
5,00:27.2,07:00.0,0.18,2:32,,125,141,--,--,,,,,198,173,左 51.0%／右 49.0%,1.19,5.8,13,2,,1:55,231,22:00.0,2:03,185,62,61
6,04:07.3,0:15,0.17,0:24,,118,144,3,4,,,,,76,197,左 50.6%／右 49.4%,0.69,3,4.5,22,,1:58,255,12:00.0,13:02,185,62,61
1,04:17.2,0:04,1,4:17,,126,151,--,--,,,,,153,200,左 49.7%／右 50.3%,1.39,13.4,10.5,39,,4:02,160,4:07,4:07,185,62,61
2,04:21.2,0:08,1,4:21,,157,174,7,--,,,,,154,200,左 49.2%／右 50.8%,1.45,13.7,9.5,55,,4:15,159,4:21,4:21,185,62,61
3,04:19.7,12:58,1,4:20,,143,168,--,2,,,,,155,198,左 50.0%／右 50.0%,1.37,12.9,9.7,44,,3:56,172,06:00.0,4:06,185,62,61
4,04:11.9,10:00.0,1,4:12,,168,179,--,9,,,,,155,199,左 49.7%／右 50.3%,1.49,13.2,9,58,,4:02,159,0:04,4:12,185,62,61
5,04:19.6,30:00.0,1,4:20,,168,183,11,5,,,,,156,198,左 49.9%／右 50.1%,1.39,12.8,9.4,60,,4:09,164,4:14,4:14,185,62,61
6,04:11.9,42:00.0,1,4:12,,168,181,2,3,,,,,157,196,左 49.9%／右 50.1%,1.37,12.7,9.8,58,,3:57,164,07:00.0,4:07,185,62,61
7,01:42.2,24:00.0,0.39,4:24,,172,177,--,1,,,,,159,201,左 49.1%／右 50.9%,1.32,12.1,9.4,23,,4:04,169,1:41,4:20,185,62,61
1,04:21.1,04:21.1,1,4:21,,143,156,4,--,,,,,155,192,左 49.3%／右 50.8%,1.46,13.4,9.1,50,,4:10,160,4:21,4:21,185,62,61
2,04:30.1,08:51.3,1,4:30,,164,178,--,--,,,,,154,195,左 49.6%／右 50.4%,1.46,13.5,9,60,,4:05,156,30:00.0,4:30,185,62,61
3,04:21.3,13:00.0,1,4:21,,164,178,--,6,,,,,156,198,左 49.7%／右 50.3%,1.47,12.9,8.7,57,,4:06,162,0:04,4:21,185,62,61
4,04:35.2,48:00.0,1,4:35,,174,182,--,4,,,,,155,200,左 49.8%／右 50.3%,1.36,13,9.4,64,,4:19,159,4:32,4:32,185,62,61
5,02:03.3,51:00.0,0.45,4:33,,161,176,8,--,,,,,155,198,左 49.7%／右 50.3%,1.36,13,9.7,26,,4:28,158,03:00.0,4:32,185,62,61
1,02:39.2,02:39.2,0.51,5:15,,138,156,--,--,,,,,153,219,左 49.7%／右 50.3%,1.22,12.7,10.8,28,,4:37,158,2:39,5:14,185,62,61
2,02:34.1,05:13.3,0.53,4:54,,161,165,12,9,,,,,154,215,左 49.5%／右 50.5%,1.32,13.1,9.7,34,,4:36,162,34:00.0,4:53,185,62,61
3,02:28.2,07:41.5,0.51,4:48,,169,172,--,8,,,,,155,209,左 49.7%／右 50.3%,1.36,13.1,9.4,34,,4:39,158,28:00.0,4:47,185,62,61
4,02:27.3,09:00.0,0.53,4:40,,172,175,7,--,,,,,155,209,左 49.9%／右 50.1%,1.39,12.9,9.1,34,,4:31,165,2:27,4:40,185,62,61
5,02:26.0,35:00.0,0.52,4:43,,172,176,--,3,,,,,154,207,左 50.2%／右 49.8%,1.4,13.1,9.1,34,,4:25,158,02:26.0,4:43,185,62,61
6,02:25.9,01:00.0,0.52,4:42,,173,175,5,8,,,,,155,207,左 49.9%／右 50.1%,1.39,12.9,9.1,34,,4:35,159,02:25.9,4:42,185,62,61
7,02:24.4,25:00.0,0.52,4:39,,175,177,6,4,,,,,155,205,左 49.9%／右 50.1%,1.39,13.1,9.2,34,,4:34,159,2:24,4:38,185,62,61
8,02:23.4,48:00.0,0.52,4:35,,177,178,4,--,,,,,155,206,左 50.0%／右 50.0%,1.41,13.1,9.1,34,,4:17,158,0:02,4:35,185,62,61
9,02:13.5,02:00.0,0.49,4:32,,179,180,3,5,,,,,155,204,左 49.7%／右 50.3%,1.42,13,8.8,32,,4:26,158,2:13,4:31,185,62,61
10,02:18.8,21:00.0,0.53,4:23,,180,182,--,--,,,,,156,205,左 49.9%／右 50.1%,1.45,12.7,8.5,34,,4:13,159,02:18.8,4:23,185,62,61
11,02:25.4,46:00.0,0.55,4:24,,180,182,--,--,,,,,157,207,左 50.2%／右 49.8%,1.44,12.6,8.5,35,,4:19,159,2:25,4:23,185,62,61
12,02:20.0,06:00.0,0.53,4:24,,181,184,--,--,,,,,157,206,左 50.0%／右 50.0%,1.46,12.7,8.4,34,,4:18,159,02:20.0,4:24,185,62,61
1,00:37.1,00:37.1,0.19,3:11,,136,159,,,,,,,175,146,左 52.9%／右 47.1%,1.67,11.1,7.1,6,,2:51,182,0:35,3:00,185,62,61
2,00:59.6,01:36.7,0.21,4:49,,172,179,,,,,,,159,205,左 50.2%／右 49.8%,1.38,12.9,9,13,,3:06,173,0:01,4:49,185,62,61
3,00:40.2,02:17.0,0.2,3:19,,176,185,,,,,,,168,163,左 48.9%／右 51.1%,1.69,12,7.1,9,,3:15,170,0:40,3:18,185,62,61
4,00:59.7,0:03,0.22,4:35,,183,187,,,,,,,158,204,左 49.6%／右 50.4%,1.48,13.1,8.6,14,,3:15,166,0:01,4:35,185,62,61
5,00:38.9,03:55.6,0.2,3:13,,177,180,,,,,,,171,166,左 50.1%／右 49.9%,1.74,12,6.9,9,,3:08,179,0:00,3:13,185,62,61
6,00:56.7,04:52.3,0.2,4:40,,183,184,,,,,,,159,210,左 50.0%／右 50.0%,1.47,12.4,8.2,13,,3:12,165,0:56,4:36,185,62,61
7,00:41.2,05:33.6,0.21,3:14,,182,185,,,,,,,166,159,左 49.9%／右 50.1%,1.68,12.3,7.5,10,,3:18,169,0:00,3:14,185,62,61
1,04:38.8,04:38.8,1,4:39,,136,156,3,2,,,,,151,215,左 49.5%／右 50.5%,1.37,13.5,10,48,,4:26,157,36:00.0,4:36,185,62,61
2,04:36.6,09:15.4,1,4:37,,151,162,--,5,,,,,153,207,左 49.8%／右 50.2%,1.39,13.6,9.4,55,,4:20,160,30:00.0,4:30,185,62,61
3,04:44.0,59:00.0,1,4:44,,158,168,6,--,,,,,154,215,左 49.3%／右 50.7%,1.34,12.9,9.6,60,,4:26,158,4:43,4:43,185,62,61
4,04:40.2,40:00.0,1,4:40,,158,169,8,4,,,,,152,208,左 49.5%／右 50.5%,1.36,13,9.4,56,,4:18,159,4:40,4:40,185,62,61
5,04:39.0,23:19,1,4:39,,169,172,11,13,,,,,153,208,左 49.7%／右 50.3%,1.41,13,9.2,63,,4:11,159,04:39.0,4:39,185,62,61
6,04:23.0,42:00.0,1,4:23,,164,176,--,4,,,,,155,206,左 49.7%／右 50.3%,1.43,12.7,9.1,57,,4:07,163,4:21,4:21,185,62,61
7,03:56.5,38:00.0,1,3:56,,161,180,2,--,,,,,160,199,左 50.0%／右 50.0%,1.5,11.9,8.5,45,,3:39,171,52:00.0,3:52,185,62,61
8,01:47.8,26:00.0,0.43,4:09,,156,170,--,3,,,,,160,203,左 49.4%／右 50.6%,1.38,11.5,8.4,19,,3:43,169,0:01,4:09,185,62,61
1,06:39.4,06:39.4,1,6:39,,141,154,6,3,,,,,154,241,左 50.1%／右 49.9%,0.96,12.1,13,72,,5:26,161,6:35,6:35,185,62,61
2,05:14.0,53:00.0,1,5:14,,154,165,2,2,,,,,153,218,左 50.1%／右 49.9%,1.25,12.8,10.1,65,,4:50,157,13:00.0,5:13,185,62,61
3,04:30.9,24:00.0,1,4:31,,170,179,10,13,,,,,154,209,左 49.9%／右 50.1%,1.43,12.9,8.8,61,,4:21,159,30:00.0,4:30,185,62,61
4,04:04.9,29:00.0,1,4:05,,177,183,8,6,,,,,157,201,左 49.9%／右 50.1%,1.56,12.5,7.8,58,,3:43,164,0:04,4:05,185,62,61
5,00:30.5,00:00.0,0.15,3:29,,183,185,--,--,,,,,161,193,左 49.7%／右 50.3%,1.73,11.6,6.5,7,,3:34,164,0:30,3:26,185,62,61
1,01:05.0,01:05.0,0.39,2:47,,134,156,--,--,,,,,178,149,左 51.9%／右 48.1%,1.92,9.2,5,10,,2:28,219,1:04,2:44,185,62,61
2,01:16.9,0:02,0.42,3:03,,161,168,1,--,,,,,173,167,左 49.3%／右 50.7%,1.93,10.2,5,16,,2:36,183,01:16.9,3:03,185,62,61
3,00:41.5,0:03,0.21,3:17,,168,171,--,--,,,,,167,166,左 48.3%／右 51.7%,1.83,10.9,5.7,9,,3:05,169,41:00.0,3:15,185,62,61
4,40:00.0,20:44,0.7,1:24,,128,169,3,7,,,,,77,199,左 49.3%／右 50.7%,0.93,4.1,7.2,135,,2:44,233,6:56,9:58,185,62,61
5,01:06.4,21:50:00,0.39,2:51,,144,170,3,--,,,,,184,133,左 53.4%／右 46.6%,1.87,8.8,4.8,10,,2:19,204,1:03,2:42,185,62,61
6,01:53.7,23:44:00,0.63,3:02,,181,188,--,--,,,,,174,154,左 48.6%／右 51.4%,1.91,10,4.9,27,,2:47,185,0:01,3:02,185,62,61
7,09:00.0,39:53:00,0.64,1:13,,132,186,4,6,,,,,75,233,左 48.5%／右 51.5%,0.67,4.5,7.2,111,,3:02,255,41:00.0,12:00,185,62,61
8,01:08.5,41:02:00,0.39,2:55,,147,171,3,--,,,,,179,134,左 52.9%／右 47.1%,1.87,8.8,4.5,11,,2:31,195,1:06,2:49,185,62,61
9,01:16.3,42:18:00,0.41,3:07,,182,186,--,--,,,,,173,182,左 49.0%／右 51.0%,1.87,10.1,5.1,18,,2:56,180,1:16,3:06,185,62,61
10,00:38.9,42:57:00,0.21,3:05,,187,191,--,--,,,,,172,212,左 48.4%／右 51.6%,1.9,10,4.9,10,,2:56,179,0:00,3:04,185,62,61
1,04:34.1,04:34.1,1,4:34,,149,168,11,8,,,,,155,197,左 49.5%／右 50.5%,1.4,12.9,9.1,53,,4:08,163,04:34.1,4:34,185,62,61
2,04:27.1,09:01.2,1,4:27,,171,177,8,11,,,,,156,192,左 49.5%／右 50.5%,1.44,12.8,8.6,60,,4:10,161,4:26,4:26,185,62,61
3,04:30.4,13:32,1,4:30,,174,180,3,--,,,,,155,198,左 49.8%／右 50.2%,1.45,12.5,8.8,61,,4:00,163,04:30.4,4:30,185,62,61
4,04:45.1,18:17,1,4:45,,171,181,6,6,,,,,153,192,左 50.5%／右 49.5%,1.38,11.6,8.5,63,,3:57,160,04:45.1,4:45,185,62,61
5,03:16.7,21:33,0.79,4:11,,175,180,--,--,,,,,158,187,左 50.1%／右 49.9%,1.53,12.3,7.8,45,,3:54,162,3:15,4:08,185,62,61
1,05:06.5,05:06.5,1,5:06,,149,168,20,17,,,,,153,219,左 50.2%／右 49.8%,1.24,12.7,10,62,,4:42,158,5:03,5:03,185,62,61
2,04:50.3,09:56.8,1,4:50,,163,175,--,--,,,,,154,220,左 50.0%／右 50.0%,1.35,12.7,9.1,62,,4:28,158,04:50.3,4:50,185,62,61
3,04:40.4,14:37,1,4:40,,161,167,--,--,,,,,156,215,左 49.9%／右 50.1%,1.37,12.5,8.9,60,,4:26,159,4:40,4:40,185,62,61
4,00:31.6,15:09,0.13,4:05,,168,170,--,--,,,,,158,211,左 50.0%／右 50.0%,1.48,12,7.9,7,,4:16,160,00:31.6,4:05,185,62,61
1,04:41.3,04:41.3,1,4:41,,145,166,5,5,,,,,153,202,左 49.0%／右 51.0%,1.36,13.4,9.8,55,,4:23,159,4:36,4:36,185,62,61
2,04:39.8,09:21.1,1,4:40,,170,179,1,--,,,,,151,199,左 49.4%／右 50.6%,1.42,14.1,9.7,63,,4:06,154,4:39,4:39,185,62,61
3,04:27.1,13:48,1,4:27,,177,183,3,10,,,,,155,202,左 49.7%／右 50.3%,1.45,13.2,8.9,61,,4:16,160,4:27,4:27,185,62,61
4,04:34.4,18:23,1,4:34,,176,183,--,--,,,,,155,196,左 49.3%／右 50.7%,1.39,13.5,9.6,62,,4:19,159,4:34,4:34,185,62,61
5,04:29.2,22:52,1,4:29,,177,191,9,5,,,,,157,198,左 49.7%／右 50.3%,1.37,12.9,9.2,60,,4:10,164,4:29,4:29,185,62,61
6,04:07.8,27:00:00,1,4:08,,176,196,6,--,,,,,159,191,左 49.5%／右 50.5%,1.5,12.6,8.2,58,,3:53,163,04:07.8,4:08,185,62,61
7,03:53.6,30:53:00,0.94,4:08,,181,186,3,12,,,,,159,198,左 49.7%／右 50.3%,1.52,12.5,8,55,,3:44,163,3:53,4:07,185,62,61
1,04:36.0,04:36.0,1,4:36,,166,178,2,--,,,,,154,199,左 48.6%／右 51.4%,1.4,13.4,9.6,58,,4:11,159,4:30,4:30,185,62,61
2,04:36.0,09:12.0,1,4:36,,177,187,--,--,,,,,154,198,左 49.2%／右 50.8%,1.39,13.4,9.5,63,,4:19,158,04:36.0,4:36,185,62,61
3,04:23.8,13:36,1,4:24,,176,179,7,10,,,,,155,203,左 49.6%／右 50.4%,1.48,12.9,8.7,61,,4:10,164,04:23.8,4:24,185,62,61
4,03:01.0,16:37,0.77,3:55,,172,186,3,7,,,,,158,188,左 50.0%／右 50.0%,1.59,12.5,8,41,,3:39,165,3:01,3:55,185,62,61
5,02:11.4,18:48,0.18,12:17,,151,185,6,6,,,,,118,224,左 50.8%／右 49.3%,0.76,4.9,6.6,20,,4:08,180,2:11,12:16,185,62,61
6,02:09.9,20:58,0.62,3:29,,157,190,8,10,,,,,165,189,左 50.2%／右 49.8%,1.71,11.4,7.3,28,,3:11,173,02:09.9,3:29,185,62,61
7,01:13.7,22:12,0.1,11:42,,166,190,--,--,,,,,119,212,左 50.0%／右 50.0%,0.81,5.2,6.4,15,,3:38,158,1:13,11:36,185,62,61
