ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重,VO2Max
1,04:02.2,04:02.2,1,4:02,,191,203,21,28,,,,,165,210,49.2% L / 50.8% R,1.52,10.5,7.1,46,,3:15,181,3:59,3:59,176,65,50
2,04:56.2,08:58.4,1,4:56,,198,200,29,29,,,,,159,235,48.9% L / 51.1% R,1.28,11.3,8.5,57,,4:35,164,04:56.2,4:56,176,65,50
3,04:58.9,13:57,1,4:59,,198,200,28,17,,,,,159,236,49.5% L / 50.5% R,1.26,11.3,8.7,59,,4:37,164,04:58.9,4:59,176,65,50
1,05:10.9,05:10.9,1,5:11,,177,190,29,24,,,,,162,236,48.6% L / 51.4% R,1.21,10.8,8.9,45,,3:40,176,05:10.9,5:11,176,65,50
2,05:18.8,10:30,1,5:19,,192,197,18,29,,,,,163,238,49.1% L / 50.9% R,1.18,10.8,8.9,52,,4:25,165,5:18,5:18,176,65,50
3,05:15.6,15:45,1,5:16,,193,197,24,16,,,,,162,244,49.1% L / 50.9% R,1.16,10.7,9.1,53,,4:21,165,05:15.6,5:16,176,65,50
1,04:22.1,04:22.1,1,4:22,,190,200,36,36,,,,,164,207,左 50.2%／右 49.8%,1.41,11.1,7.6,70,,3:48,178,4:19,4:19,176,65,50
2,04:49.6,09:11.7,1,4:50,,199,202,20,32,,,,,161,216,左 50.1%／右 49.9%,1.31,11.6,8.6,83,,4:29,164,04:49.6,4:50,176,65,50
3,04:48.1,14:00,1,4:48,,204,207,37,36,,,,,162,220,左 50.1%／右 49.9%,1.33,11.5,8.4,84,,4:26,165,4:48,4:48,176,65,50
